Situation;Nivel;Number;Imports;Changed_files;Changes;Deletion;Aditions;Size_body;Create_date;Closed_date;Merge_date;Diff_MergeLastModify;Diff_CreateNow;PR_comments;PR_size_comments;Review_comments;Review_size_comments;Issue_comments;Issue_size_comments;Qtd_labels_pr;Qtd_labels_issue;Commits
Closed;Difficult;9425;0;9;105;65;40;407;2018-05-16 15:01:24;2018-05-17 20:26:00;;;1295 days 05:16:58.849139;3;0;0;0;2;185;3;0;3
Closed;Difficult;9369;4;18;225;3;222;364;2018-05-13 22:47:32;2018-07-24 20:50:35;;;1297 days 21:30:53.451946;6;147;2;147;3;1928;1;5;2
Closed;Difficult;9086;0;8;37;19;18;223;2018-04-13 17:36:28;2018-05-05 14:29:19;;;1328 days 02:41:59.878093;4;0;0;0;2;441;2;2;1
Closed;Difficult;9030;0;6;269;56;213;232;2018-04-09 08:04:21;2018-04-19 19:02:02;2018-04-19 19:02:02;1302 days 10:33:58;1332 days 12:14:09.336478;9;0;0;0;9;2365;1;3;4
Closed;Difficult;8725;0;1;5;0;5;285;2018-03-16 10:02:30;2018-05-13 11:29:05;;;1356 days 10:16:02.796966;8;349;1;349;6;530;6;4;1
Closed;Difficult;8725;0;1;5;0;5;285;2018-03-16 10:02:30;2018-05-13 11:29:05;;;1356 days 10:16:05.157806;8;349;1;349;6;530;6;4;1
Open;Easy;20323;0;2;15;1;14;625;2021-11-21 17:23:33;;;;10 days 02:56:08.596812;3;205;2;205;3;367;1;4;1
Open;Easy;20232;0;2;11;5;6;132;2021-11-11 11:45:17;;;;20 days 08:34:26.839093;7;0;0;0;6;3750;2;4;4
Open;Easy;20206;0;2;33;2;31;860;2021-11-09 16:09:53;;;;22 days 04:09:53.071259;3;0;0;0;3;562;1;3;1
Open;Easy;20189;0;3;16;6;10;433;2021-11-07 10:08:11;;;;24 days 10:11:37.494041;8;0;0;0;8;3529;1;4;2
Open;Easy;20184;0;4;31;3;28;414;2021-11-06 06:28:05;;;;25 days 13:51:45.817162;6;0;0;0;6;1411;1;4;2
Open;Easy;20138;1;2;54;6;48;563;2021-11-02 14:23:08;;;;29 days 05:56:45.726489;4;816;6;816;3;454;3;4;3
Open;Easy;20096;2;13;160;12;148;1313;2021-10-29 12:39:28;;;;33 days 07:40:28.627508;4;372;3;372;3;933;2;4;1
Open;Easy;20090;0;1;1;1;0;580;2021-10-28 17:17:24;;;;34 days 03:02:34.918573;2;0;0;0;2;966;1;5;2
Open;Easy;20089;0;3;38;0;38;737;2021-10-28 16:54:23;;;;34 days 03:25:38.565729;5;0;0;0;4;485;4;6;2
Open;Easy;20019;5;13;90;14;76;1368;2021-10-20 08:14:56;;;;42 days 12:05:08.889925;7;0;0;0;7;10686;1;6;6
Open;Easy;19983;0;2;8;1;7;658;2021-10-16 04:24:48;;;;46 days 15:55:19.366262;1;0;0;0;0;0;2;6;2
Open;Easy;19975;0;5;27;7;20;1100;2021-10-15 13:15:02;;;;47 days 07:05:08.058521;8;1086;5;1086;7;1752;3;4;1
Open;Easy;19969;0;2;9;1;8;1467;2021-10-14 20:54:25;;;;47 days 23:25:47.728523;3;264;1;264;2;520;2;2;1
Open;Easy;19923;0;4;45;8;37;847;2021-10-07 07:56:53;;;;55 days 12:23:22.240593;5;56;1;56;5;1744;1;4;9
Open;Easy;19913;0;3;64;2;62;557;2021-10-06 13:07:49;;;;56 days 07:12:28.627591;4;0;0;0;3;501;2;4;1
Open;Easy;19726;0;3;120;1;119;1576;2021-09-11 17:45:46;;;;81 days 02:34:33.977228;6;0;0;0;5;1361;1;3;4
Open;Easy;19702;1;9;350;0;350;408;2021-09-09 18:34:52;;;;83 days 01:45:30.366765;1;0;0;0;1;307;1;3;6
Open;Easy;19636;8;1;158;0;158;1107;2021-08-31 09:45:56;;;;92 days 10:34:29.704008;7;1993;14;1993;7;1653;1;2;4
Open;Easy;19583;0;4;55;8;47;611;2021-08-17 07:40:32;;;;106 days 12:39:55.996028;0;0;0;0;0;0;1;6;1
Open;Easy;19028;0;8;242;38;204;196;2021-06-27 21:52:21;;;;156 days 22:28:09.294717;1;0;0;0;0;0;2;4;12
Open;Easy;18876;0;1;10;0;10;695;2021-06-16 17:10:27;;;;168 days 03:10:05.611707;1;0;0;0;0;0;2;2;1
Open;Easy;18826;5;7;118;13;105;624;2021-06-14 06:48:36;;;;170 days 13:31:58.873190;2;0;0;0;1;78;2;4;1
Open;Easy;18813;2;7;207;8;199;286;2021-06-12 01:18:14;;;;172 days 19:02:23.120174;2;0;0;0;0;0;3;4;1
Open;Easy;18517;1;15;2556;0;2556;993;2021-05-15 16:20:10;;;;200 days 04:00:31.640570;22;3465;21;3465;21;2232;2;3;5
Open;Easy;18439;0;2;7;1;6;1290;2021-05-11 09:06:47;;;;204 days 11:13:57.069245;3;0;0;0;2;478;1;3;2
Open;Easy;18257;0;1;6;1;5;461;2021-04-25 01:46:55;;;;220 days 18:33:51.505220;2;0;0;0;1;279;2;4;1
Open;Easy;18255;0;4;78;13;65;927;2021-04-24 22:40:55;;;;220 days 21:39:54.243827;3;698;4;698;2;985;2;3;8
Open;Easy;18124;6;1;184;86;98;953;2021-04-13 08:23:33;;;;232 days 11:57:19.003137;17;166;4;166;17;4713;1;3;2
Open;Easy;17987;0;2;30;4;26;958;2021-04-04 08:42:03;;;;241 days 11:38:51.203496;1;0;0;0;0;0;2;4;1
Open;Easy;17912;0;5;35;1;34;693;2021-03-31 19:00:56;;;;245 days 01:20:00.540974;2;0;0;0;1;42;2;3;1
Open;Easy;17892;0;1;64;4;60;645;2021-03-30 18:05:18;;;;246 days 02:15:40.778900;0;0;0;0;0;0;1;4;3
Open;Easy;17816;0;6;126;38;88;561;2021-03-26 17:42:09;;;;250 days 02:38:52.248864;2;0;0;0;1;518;2;4;2
Open;Easy;17717;0;32;568;231;337;1550;2021-03-20 18:12:24;;;;256 days 02:08:40.348393;1;0;0;0;0;0;2;1;8
Open;Easy;17659;0;41;1279;0;1279;669;2021-03-16 22:29:57;;;;259 days 21:51:10.714515;3;2203;7;2203;2;434;2;2;1
Open;Easy;17597;0;2;60;20;40;1034;2021-03-12 15:32:24;;;;264 days 04:48:47.272279;14;2191;14;2191;13;1762;2;2;4
Open;Easy;17593;1;7;61;3;58;284;2021-03-12 13:46:22;;;;264 days 06:34:51.955511;3;458;2;458;2;142;3;3;2
Open;Easy;17446;0;2;33;0;33;699;2021-03-01 06:22:57;;;;275 days 13:58:19.201746;0;0;0;0;0;0;1;4;1
Open;Easy;17433;1;3;21;3;18;896;2021-02-27 01:30:56;;;;277 days 18:50:22.566519;10;0;0;0;8;1341;3;3;5
Open;Easy;17360;3;3;27;5;22;544;2021-02-20 07:01:42;;;;284 days 13:19:39.395232;8;531;6;531;6;1305;4;3;2
Open;Easy;17032;0;3;18;6;12;1081;2021-01-09 10:34:39;;;;326 days 09:46:45.310334;11;972;6;972;11;3935;1;6;3
Open;Easy;17002;0;3;26;3;23;275;2021-01-03 13:16:01;;;;332 days 07:05:25.552197;3;0;0;0;1;36;5;3;1
Open;Easy;16934;0;4;89;33;56;1052;2020-12-19 19:01:37;;;;347 days 01:19:51.767828;1;0;0;0;0;0;2;5;1
Open;Easy;16925;0;3;30;3;27;753;2020-12-18 23:23:02;;;;347 days 20:58:29.712454;7;1043;6;1043;5;848;5;3;3
Open;Easy;16896;0;3;28;1;27;753;2020-12-14 19:25:02;;;;352 days 00:56:31.896093;1;0;0;0;0;0;1;5;6
Open;Easy;16870;0;5;38;4;34;1221;2020-12-10 18:58:14;;;;356 days 01:23:22.813033;6;1176;8;1176;6;1093;1;6;1
Open;Easy;16830;0;1;20;10;10;509;2020-12-02 21:23:55;;;;363 days 22:57:44.235398;2;251;2;251;1;135;1;4;2
Open;Easy;16458;1;14;236;77;159;582;2020-10-02 07:57:26;;;;425 days 12:24:16.095100;7;1315;4;1315;6;1020;2;3;1
Open;Easy;16104;0;2;6;2;4;759;2020-08-11 19:27:20;;;;477 days 00:54:24.512676;2;399;2;399;0;0;4;3;2
Open;Easy;16084;1;3;46;20;26;468;2020-08-09 08:06:30;;;;479 days 12:15:17.741559;22;1566;10;1566;21;6263;3;5;3
Open;Easy;15713;2;4;139;111;28;173;2020-07-07 23:00:00;;;;511 days 21:21:50.299044;7;0;0;0;5;1060;3;4;3
Open;Easy;14575;0;4;15;1;14;768;2020-04-14 17:28:00;;;;596 days 02:53:52.517262;3;0;0;0;1;607;4;5;6
Open;Easy;14010;1;7;151;67;84;752;2020-02-23 19:48:34;;;;647 days 00:33:21.482880;13;1518;9;1518;12;2474;2;5;2
Open;Easy;13498;1;2;68;2;66;537;2019-12-10 02:21:26;;;;722 days 18:00:31.746001;3;0;0;0;2;623;2;4;2
Open;Easy;13161;0;4;61;18;43;203;2019-09-13 01:50:38;;;;810 days 18:31:22.124777;9;0;0;0;7;1588;3;4;1
Open;Easy;12882;0;4;33;2;31;607;2019-07-25 13:18:19;;;;860 days 07:03:44.710747;32;598;3;598;31;7712;2;4;1
Open;Easy;12153;0;2;39;18;21;643;2019-04-17 20:30:51;;;;958 days 23:51:15.022084;2;0;0;0;1;49;2;4;1
Open;Easy;12041;1;2;63;1;62;944;2019-04-03 08:00:02;;;;973 days 12:22:07.137777;15;768;7;768;14;4012;2;4;1
Open;Easy;11566;0;2;28;0;28;969;2019-02-14 12:37:33;;;;1021 days 07:44:39.377945;12;1687;10;1687;11;2042;2;4;1
Open;Easy;11517;0;3;94;2;92;656;2019-02-10 19:56:05;;;;1025 days 00:26:10.566730;14;1142;12;1142;12;1246;3;4;1
Open;Easy;11057;0;3;20;0;20;465;2018-12-16 18:10:50;;;;1081 days 02:11:28.188132;6;288;4;288;5;737;2;4;3
Open;Easy;9103;0;3;65;3;62;473;2018-04-16 05:31:37;;;;1325 days 14:50:43.461451;3;0;0;0;1;262;3;3;6
Open;Easy;8674;0;5;139;9;130;93;2018-03-12 19:15:42;;;;1360 days 01:06:41.099236;5;466;3;466;4;440;3;6;3
Open;Easy;8652;0;3;53;6;47;12;2018-03-11 12:49:48;;;;1361 days 07:32:38.002415;3;911;6;911;2;164;2;3;2
Open;Easy;8395;0;3;113;26;87;173;2018-02-15 14:14:01;;;;1385 days 06:08:27.330173;6;0;0;0;4;573;3;3;1
Open;Easy;8364;0;2;51;25;26;149;2018-02-13 11:00:08;;;;1387 days 09:22:22.656953;7;0;0;0;6;465;3;2;1
Open;Easy;8348;0;5;142;9;133;260;2018-02-12 08:55:26;;;;1388 days 11:27:07.637072;9;6915;9;6915;7;1025;2;4;1
Open;Easy;8321;1;14;130;2;128;12;2018-02-09 01:17:31;;;;1391 days 19:05:04.934404;1;0;0;0;0;0;2;5;2
Open;Easy;7787;0;6;90;5;85;91;2017-12-15 17:41:27;;;;1447 days 02:41:11.297673;6;0;0;0;5;331;3;6;1
Open;Easy;7724;0;4;83;7;76;184;2017-12-10 00:16:10;;;;1452 days 20:06:31.132639;4;1245;4;1245;3;1062;2;4;1
Open;Easy;7690;0;1;10;6;4;72;2017-12-07 14:20:55;;;;1455 days 06:01:49.374635;6;1480;10;1480;4;1094;2;3;1
Open;Easy;2721;0;5;120;3;117;1777;2016-12-15 19:57:14;;;;1812 days 00:25:32.964320;11;35;1;35;6;1620;2;5;1
Closed;Easy;5713;0;2;4;2;2;12;2017-07-06 22:09:30;2017-07-07 03:13:30;2017-07-07 03:13:30;1494 days 23:11:41;1608 days 22:13:27.100406;3;0;0;0;2;134;0;3;1
Closed;Easy;5682;1;24;466;432;34;70;2017-07-05 09:04:06;2017-07-07 21:59:19;2017-07-07 21:59:19;1580 days 19:35:20;1610 days 11:18:54.139287;10;321;4;321;9;1940;0;3;23
Closed;Easy;5663;0;2;25;9;16;730;2017-07-03 12:34:03;2017-07-07 19:20:29;;;1612 days 07:48:59.983378;8;0;0;0;8;1180;0;4;1
Closed;Easy;5660;0;8;27;1;26;84;2017-07-03 02:33:30;2017-07-04 21:09:31;;;1612 days 17:49:35.973576;10;442;4;442;9;2812;0;4;1
Closed;Easy;5657;2;14;79;8;71;84;2017-07-02 20:44:39;2017-07-03 02:18:53;;;1612 days 23:38:30.054957;3;0;0;0;2;163;0;4;2
Closed;Easy;5628;0;3;95;3;92;577;2017-06-30 04:11:31;2017-07-03 15:05:19;2017-07-03 15:05:19;1582 days 23:29:00;1615 days 16:11:40.883613;8;744;4;744;7;1086;0;2;1
Closed;Easy;5618;0;1;10;0;10;12;2017-06-29 16:31:24;2017-07-04 22:48:49;;;1616 days 03:51:50.757963;5;581;4;581;5;2420;0;3;1
Closed;Easy;5592;0;15;1760;25;1735;144;2017-06-27 16:25:42;2017-09-25 18:58:57;;;1618 days 03:57:36.527708;14;2685;15;2685;11;6533;0;3;7
Closed;Easy;5585;0;1;14;0;14;11;2017-06-27 03:09:36;2017-06-27 23:55:57;2017-06-27 23:55:56;1582 days 05:14:13;1618 days 17:13:45.175078;2;0;0;0;2;152;0;2;1
Closed;Easy;5541;0;1;19;8;11;29;2017-06-23 20:10:02;2017-06-25 15:29:15;2017-06-25 15:29:15;1619 days 15:21:01;1622 days 00:13:21.921581;2;0;0;0;2;1886;0;3;1
Closed;Easy;5540;0;13;119;51;68;538;2017-06-23 19:54:27;2017-07-02 20:52:30;;;1622 days 00:29:00.654871;10;2934;17;2934;6;4792;2;3;2
Closed;Easy;5518;0;1;7;2;5;168;2017-06-22 13:53:50;2017-06-22 18:16:44;2017-06-22 18:16:44;1069 days 23:38:40;1623 days 06:29:40.099289;4;0;0;0;3;2019;0;4;2
Closed;Easy;5500;0;7;65;26;39;2020;2017-06-21 13:19:24;2017-07-07 21:55:15;;;1624 days 07:04:10.508135;18;4310;25;4310;16;4069;1;5;6
Closed;Easy;5495;0;19;1322;660;662;418;2017-06-21 07:25:59;2017-06-21 11:02:58;2017-06-21 11:02:58;1595 days 03:31:21;1624 days 12:57:38.112525;3;0;0;0;3;1650;0;3;19
Closed;Easy;5493;0;3;42;6;36;285;2017-06-21 00:31:13;2017-06-21 00:56:27;2017-06-21 00:56:27;1595 days 13:37:52;1624 days 19:52:26.461774;2;0;0;0;2;2235;0;2;1
Closed;Easy;5486;0;4;31;3;28;13;2017-06-20 18:57:36;2017-08-28 05:20:54;;;1625 days 01:26:05.851909;9;0;0;0;9;4202;1;3;5
