Situation;Nivel;Number;Imports;Changed_files;Changes;Deletion;Aditions;Size_body;Create_date;Closed_date;Merge_date;Diff_MergeLastModify;Diff_CreateNow;PR_comments;PR_size_comments;Review_comments;Review_size_comments;Issue_comments;Issue_size_comments;Qtd_labels;Commits
Open;Easy;12153;0;2;39;18;21;643;2019-04-17 20:30:51;;;;949 days 18:56:38.581833;2;0;0;0;1;49;2;1
Open;Easy;12041;7;2;63;1;62;944;2019-04-03 08:00:02;;;;964 days 07:27:30.871112;15;768;7;768;14;4012;2;1
Open;Easy;11566;0;2;28;0;28;969;2019-02-14 12:37:33;;;;1012 days 02:50:03.509735;12;1687;10;1687;11;2042;2;1
Open;Easy;11517;0;3;94;2;92;656;2019-02-10 19:56:05;;;;1015 days 19:31:35.099161;14;1142;12;1142;12;1246;3;1
Open;Easy;11057;0;3;20;0;20;465;2018-12-16 18:10:50;;;;1071 days 21:16:52.913693;6;288;4;288;5;737;2;3
Open;Easy;9103;0;3;65;3;62;473;2018-04-16 05:31:37;;;;1316 days 09:56:08.350657;3;0;0;0;1;262;3;6
Open;Easy;8674;0;5;139;9;130;93;2018-03-12 19:15:42;;;;1350 days 20:12:06.139157;5;466;3;466;4;440;3;3
Open;Easy;8652;0;3;53;6;47;12;2018-03-11 12:49:48;;;;1352 days 02:38:03.166512;3;911;6;911;2;164;2;2
Open;Easy;8395;0;3;113;26;87;173;2018-02-15 14:14:01;;;;1376 days 01:13:53.023980;6;0;0;0;4;573;3;1
Open;Easy;8364;0;2;51;25;26;149;2018-02-13 11:00:08;;;;1378 days 04:27:49.673922;7;0;0;0;6;465;3;1
Open;Easy;8348;9;5;142;9;133;260;2018-02-12 08:55:26;;;;1379 days 06:32:35.307480;9;6915;9;6915;7;1025;2;1
Open;Easy;8321;5;14;130;2;128;12;2018-02-09 01:17:31;;;;1382 days 14:10:33.458950;1;0;0;0;0;0;2;2
Open;Easy;7787;0;6;90;5;85;91;2017-12-15 17:41:27;;;;1437 days 21:46:40.043937;6;0;0;0;5;331;3;1
Open;Easy;7724;0;4;83;7;76;184;2017-12-10 00:16:10;;;;1443 days 15:11:59.829206;4;1245;4;1245;3;1062;2;1
Open;Easy;7690;0;1;10;6;4;72;2017-12-07 14:20:55;;;;1446 days 01:07:18.213918;6;1480;10;1480;4;1094;2;1
Open;Easy;2721;0;5;120;3;117;1777;2016-12-15 19:57:14;;;;1802 days 19:31:01.996436;11;35;1;35;6;1620;2;1
Closed;Easy;20310;0;1;8;4;4;380;2021-11-19 18:29:58;2021-11-19 19:49:07;2021-11-19 19:49:07;0 days 00:00:06;2 days 21:07:40.365705;1;0;0;0;1;25;1;1
Closed;Easy;20236;0;3;22;9;13;671;2021-11-12 06:09:19;2021-11-16 23:02:53;2021-11-16 23:02:53;5 days 05:31:52;10 days 09:28:21.868704;2;0;0;0;2;274;1;1
Closed;Easy;20135;0;4;20;16;4;328;2021-11-02 08:58:42;2021-11-03 18:14:02;2021-11-03 18:14:02;18 days 23:20:05;20 days 06:39:01.603709;3;558;4;558;2;109;2;1
Closed;Easy;20310;0;1;8;4;4;380;2021-11-19 18:29:58;2021-11-19 19:49:07;2021-11-19 19:49:07;0 days 00:00:06;2 days 21:07:47.798714;1;0;0;0;1;25;1;1
